time,kxx
12200000000.0,78808.05197900803
12300000000.0,78940.02634665916
12400000000.0,79061.95272301052
12500000000.0,79184.45022209363
12600000000.0,79313.57174530755
12700000000.0,79444.15221905355
12800000000.0,79556.57186108148
12900000000.0,79674.4097162886
13000000000.0,79772.58778879729
13100000000.0,79874.17504075996
13200000000.0,79950.19032119232
13300000000.0,80068.66117517199
13400000000.0,80153.05016641934
13500000000.0,80228.94596086322
13600000000.0,80310.68644398835
13700000000.0,80386.36047469186
13800000000.0,80456.61895664183
13900000000.0,80544.27487869108
14000000000.0,80625.39952945786
14100000000.0,80723.98678092571
14200000000.0,80792.19586719702
14300000000.0,80859.64929231621
14400000000.0,80958.11670130644
14500000000.0,81046.08015887057
14600000000.0,81119.49906699125
14700000000.0,81177.38624957394
14800000000.0,81240.94435647024
14900000000.0,81303.90428707357
15000000000.0,81352.26147248135
15100000000.0,81425.79621463675
15200000000.0,81508.78608192778
15300000000.0,81582.48919437068
15400000000.0,81665.16746075214
15500000000.0,81706.36836450684
15600000000.0,81808.60641219879
15700000000.0,81868.11524296072
15800000000.0,81917.14788960235
15900000000.0,81980.69738823427
16000000000.0,82007.8987087085
16100000000.0,82038.11698255857
16200000000.0,82071.05501380323
16300000000.0,82094.42451581896
16400000000.0,82112.38681865364
16500000000.0,82140.51203069778
16600000000.0,82146.00564992148
16700000000.0,82155.14757242384
16800000000.0,82162.83236713789
16900000000.0,82167.12455216357
17000000000.0,82171.8407274328
17100000000.0,82172.53753306881
17200000000.0,82184.88087421986
17300000000.0,82202.00392091187
17400000000.0,82214.0488642078
17500000000.0,82201.76288891227
17600000000.0,82196.3589523528
17700000000.0,82184.63616685345
17800000000.0,82177.42226655144
17900000000.0,82170.4314153235
18000000000.0,82161.5384336861
18100000000.0,82161.13323378455
18200000000.0,82149.46378993716
18300000000.0,82135.3781927471
18400000000.0,82121.8986472399
18500000000.0,82111.83933335188
18600000000.0,82095.71208555302
18700000000.0,82080.10014285933
18800000000.0,82061.99900892982
18900000000.0,82042.78985660741
19000000000.0,82027.20229175514
19100000000.0,82011.21243775034
19200000000.0,81992.2778289155
19300000000.0,81974.24286510132
19400000000.0,81960.55512050806
19500000000.0,81942.34336098414
19600000000.0,81930.06360689223
19700000000.0,81916.23057073084
19800000000.0,81897.74853577021
