time,vt_average,vt_std_dev,vt_margin_of_error
6500000000.0,9.130869898807451e-08,1.1934054281945658e-08,2.339031658215951e-09
6600000000.0,9.117167657368616e-08,1.1767110835013962e-08,2.306311343871841e-09
6700000000.0,9.102412465838526e-08,1.1598034253684952e-08,2.2731729428684392e-09
6800000000.0,9.086579719902153e-08,1.1425831857896267e-08,2.2394218934887054e-09
6900000000.0,9.06968523861617e-08,1.1251036726930515e-08,2.205162677352122e-09
7000000000.0,9.051644711576135e-08,1.107411254320687e-08,2.1704861745428727e-09
7100000000.0,9.032403311631722e-08,1.0894289754744652e-08,2.1352415556443213e-09
7200000000.0,9.01192902986656e-08,1.0712564200904917e-08,2.0996240015846744e-09
7300000000.0,8.99013413466215e-08,1.0528461851995723e-08,2.0635406042515494e-09
7400000000.0,8.96702203798641e-08,1.0341931289758674e-08,2.026981285851487e-09
7500000000.0,8.942553639929131e-08,1.0153578635248676e-08,1.9900648439282763e-09
7600000000.0,8.916688797335243e-08,9.963350026551156e-09,1.952780721740646e-09
7700000000.0,8.889380221638036e-08,9.771937213476544e-09,1.9152644997600718e-09
7800000000.0,8.860634222686348e-08,9.579022644729614e-09,1.877453939076366e-09
7900000000.0,8.83043482191808e-08,9.384793382663732e-09,1.839385703237074e-09
8000000000.0,8.798686948153188e-08,9.190312617571254e-09,1.801268173710369e-09
8100000000.0,8.765451572197057e-08,8.995435984032111e-09,1.7630730553938557e-09
8200000000.0,8.73067168625019e-08,8.800803815038953e-09,1.7249258512479056e-09
8300000000.0,8.694340814512112e-08,8.606901088257479e-09,1.6869216151483255e-09
8400000000.0,8.65648624422943e-08,8.414117528155724e-09,1.6491367316872403e-09
8500000000.0,8.617072529121827e-08,8.223222581188204e-09,1.6117220095985382e-09
8600000000.0,8.576121124404268e-08,8.03444445403626e-09,1.5747221765698647e-09
8700000000.0,8.533620252615812e-08,7.848459976018512e-09,1.538269888710038e-09
8800000000.0,8.489611151046868e-08,7.66615540547137e-09,1.502538849461094e-09
8900000000.0,8.444068258923934e-08,7.488394594468141e-09,1.4676983707181981e-09
9000000000.0,8.396999606611553e-08,7.3153612797558835e-09,1.433784464222037e-09
9100000000.0,8.348458356190783e-08,7.148046903798362e-09,1.4009914491247835e-09
9200000000.0,8.298448182528795e-08,6.9874204946314465e-09,1.3695092514314684e-09
9300000000.0,8.24698942425031e-08,6.833702863886369e-09,1.3393811494265508e-09
9400000000.0,8.194076194576735e-08,6.68806283771441e-09,1.3108362288260998e-09
9500000000.0,8.13975915652647e-08,6.551088602148852e-09,1.2839897719742597e-09
9600000000.0,8.084096014554512e-08,6.422997085786958e-09,1.258884296094816e-09
9700000000.0,8.027079411605969e-08,6.304620717690706e-09,1.2356829542858849e-09
9800000000.0,7.968761136963095e-08,6.196636769226913e-09,1.2145184892961387e-09
9900000000.0,7.90918551064911e-08,6.099347573121527e-09,1.1954501572509977e-09
10000000000.0,7.848346163020642e-08,6.012911100958148e-09,1.1785089200119054e-09
10100000000.0,7.786281238375654e-08,5.937674162341404e-09,1.1637627510123187e-09
10200000000.0,7.723055539352016e-08,5.873782626863819e-09,1.1512402401670157e-09
10300000000.0,7.658710509532656e-08,5.82107264654723e-09,1.1409092738623828e-09
10400000000.0,7.59329251296497e-08,5.779546561698811e-09,1.132770310790197e-09
10500000000.0,7.526818545855429e-08,5.748736010603414e-09,1.1267315537411162e-09
10600000000.0,7.459327161136689e-08,5.728262813705766e-09,1.1227188808843373e-09
10700000000.0,7.39087301651601e-08,5.717874456796569e-09,1.1206828003442802e-09
10800000000.0,7.321494100934743e-08,5.716902823747263e-09,1.120492363765997e-09
10900000000.0,7.251251267970347e-08,5.724644294986591e-09,1.1220096642476408e-09
11000000000.0,7.180165707967352e-08,5.740421588961134e-09,1.1251019570440012e-09
11100000000.0,7.108269924857231e-08,5.763383094389831e-09,1.129602329411108e-09
11200000000.0,7.035630195950056e-08,5.792844394740148e-09,1.1353766381735418e-09
11300000000.0,6.962292322357317e-08,5.828011600255965e-09,1.1422692837983337e-09
11400000000.0,6.888292022105275e-08,5.867984801418084e-09,1.1501038872607866e-09
11500000000.0,6.813682939766819e-08,5.9120910873194514e-09,1.1587485604466374e-09
11600000000.0,6.738502574228657e-08,5.9596212030038254e-09,1.168064291938877e-09
11700000000.0,6.662805864028076e-08,6.009936686252179e-09,1.1779259454420268e-09
11800000000.0,6.586625528348721e-08,6.062115932909204e-09,1.188152889860847e-09
11900000000.0,6.510006406179068e-08,6.1157554944036e-09,1.1986660507284007e-09
12000000000.0,6.4329974857377e-08,6.170513901257698e-09,1.2093985012568833e-09
12100000000.0,6.355650968998254e-08,6.225507900483745e-09,1.2201771270417708e-09
12200000000.0,6.277987433138923e-08,6.280211526640604e-09,1.2308988407508895e-09
12300000000.0,6.200049543295696e-08,6.334293407908907e-09,1.241498694701094e-09
12400000000.0,6.121907519892428e-08,6.3875832247499795e-09,1.2519433068762177e-09
12500000000.0,6.043587213683562e-08,6.439693953679564e-09,1.2621568220672292e-09
12600000000.0,5.965136482541348e-08,6.4900433075866295e-09,1.2720251140975003e-09
12700000000.0,5.886587162738376e-08,6.538503955608512e-09,1.2815232265765363e-09
12800000000.0,5.807986162432175e-08,6.584905740231263e-09,1.290617809244434e-09
12900000000.0,5.7293641733947827e-08,6.629030111525563e-09,1.2992660271021641e-09
13000000000.0,5.650768339705725e-08,6.670801108522057e-09,1.3074529920733102e-09
13100000000.0,5.5722326483569004e-08,6.7099796297714366e-09,1.3151318411349422e-09
13200000000.0,5.493800741955924e-08,6.746541715330195e-09,1.3222978782244261e-09
13300000000.0,5.4155039257712765e-08,6.7804245010793795e-09,1.328938782200855e-09
13400000000.0,5.337374986336225e-08,6.811596880228003e-09,1.3350484562452279e-09
13500000000.0,5.25945952040759e-08,6.839936041490772e-09,1.3406028297879379e-09
13600000000.0,5.181773859610269e-08,6.865392123512322e-09,1.3455921301829112e-09
13700000000.0,5.10435863186537e-08,6.888038478050904e-09,1.350030734110586e-09
13800000000.0,5.0272511191053737e-08,6.907889118479753e-09,1.353921388141646e-09
13900000000.0,4.950471367286017e-08,6.92496523938409e-09,1.3572682463384609e-09
14000000000.0,4.874048110345512e-08,6.939306751414354e-09,1.3600791310447775e-09
14100000000.0,4.798024191279675e-08,6.950829904141565e-09,1.3623376274781464e-09
14200000000.0,4.7224175734082486e-08,6.959735622507417e-09,1.364083116203499e-09
14300000000.0,4.6472569697570066e-08,6.9660468414334274e-09,1.365320092382852e-09
14400000000.0,4.572573088414685e-08,6.96969551693708e-09,1.366035219640695e-09
14500000000.0,4.49838208435999e-08,6.970817178911615e-09,1.3662550613479867e-09
14600000000.0,4.4247050057891e-08,6.969494284364868e-09,1.3659957787812898e-09
14700000000.0,4.351568541417831e-08,6.965861774812238e-09,1.3652838199916247e-09
14800000000.0,4.278992444737197e-08,6.9599082483359364e-09,1.364116950244169e-09
14900000000.0,4.206996842093245e-08,6.951690294813074e-09,1.3625062609510256e-09
15000000000.0,4.135604668783566e-08,6.941270529295174e-09,1.360464024436782e-09
15100000000.0,4.064822121562337e-08,6.928751269466258e-09,1.3580102945990043e-09
15200000000.0,3.994673130531387e-08,6.9142556088888e-09,1.3551691973326109e-09
15300000000.0,3.925186587752014e-08,6.897809944599018e-09,1.35194590636163e-09
15400000000.0,3.856371336564818e-08,6.87940133685482e-09,1.3483378855432148e-09
15500000000.0,3.788230531907222e-08,6.8591283399718015e-09,1.344364451168274e-09
15600000000.0,3.720786338669151e-08,6.837088008886315e-09,1.3400446256547847e-09
15700000000.0,3.654058090517639e-08,6.813335990534043e-09,1.3353893156017257e-09
15800000000.0,3.5880353857799223e-08,6.787934244058482e-09,1.3304106647780742e-09
15900000000.0,3.522740227398293e-08,6.760930143712236e-09,1.3251179583667194e-09
16000000000.0,3.458192103484642e-08,6.732415074213622e-09,1.3195291074433254e-09
16100000000.0,3.394381639311962e-08,6.702462951270131e-09,1.3136585992203496e-09
16200000000.0,3.331322498065848e-08,6.671110184220361e-09,1.3075135697970274e-09
16300000000.0,3.269026887138407e-08,6.638361494454628e-09,1.3010949445488562e-09
16400000000.0,3.2075014247091646e-08,6.6043132907167585e-09,1.2944216192424055e-09
16500000000.0,3.1467537253650146e-08,6.568985797545429e-09,1.2874975578144164e-09
16600000000.0,3.086785281966258e-08,6.532419166249568e-09,1.2803306297768322e-09
16700000000.0,3.027591844056021e-08,6.494685783149326e-09,1.2729350225876994e-09
16800000000.0,2.9691825429985214e-08,6.455845139480517e-09,1.2653223963149774e-09
16900000000.0,2.9115641000716056e-08,6.415911735421525e-09,1.2574955929414065e-09
17000000000.0,2.8547353725173574e-08,6.3749513238752434e-09,1.2494674997991414e-09
17100000000.0,2.7987044524745184e-08,6.333083684064681e-09,1.2412615931845018e-09
17200000000.0,2.7434653737923443e-08,6.290240314890579e-09,1.2328644471287423e-09
17300000000.0,2.689012832887295e-08,6.246395499234112e-09,1.2242710211691951e-09
17400000000.0,2.6353526475466616e-08,6.201665058723114e-09,1.2155040159277782e-09
17500000000.0,2.5824877265324328e-08,6.1561137901501216e-09,1.2065761313424607e-09
17600000000.0,2.5304178710113813e-08,6.109780353473199e-09,1.1974949446257872e-09
17700000000.0,2.479132852357928e-08,6.0627152830386405e-09,1.1882703603276297e-09
17800000000.0,2.4286327559793105e-08,6.0148755694562505e-09,1.17889394876241e-09
17900000000.0,2.3789259476593138e-08,5.96636835083425e-09,1.1693867086134768e-09
18000000000.0,2.32999977312471e-08,5.917234863312501e-09,1.1597567220157291e-09
18100000000.0,2.281847826357379e-08,5.867390271553148e-09,1.1499873615484857e-09
18200000000.0,2.2344763396922107e-08,5.816942163321146e-09,1.1400997140261957e-09
18300000000.0,2.187868352617608e-08,5.765990478814696e-09,1.1301133673677664e-09
18400000000.0,2.142022073369974e-08,5.714479064321377e-09,1.1200173156478046e-09
18500000000.0,2.0969459048896004e-08,5.662456568882926e-09,1.1098210939032783e-09
18600000000.0,2.0526278706947747e-08,5.609949417133175e-09,1.099529881267249e-09
18700000000.0,2.0090578672356283e-08,5.5570014963604915e-09,1.089152279490175e-09
18800000000.0,1.9662255460356977e-08,5.503627311379806e-09,1.0786911314635429e-09
18900000000.0,1.9241331677101465e-08,5.449823764772139e-09,1.068145830104388e-09
19000000000.0,1.8827776145199827e-08,5.395758003517038e-09,1.057549135618714e-09
19100000000.0,1.8421490451538002e-08,5.341366515647605e-09,1.0468885998897505e-09
19200000000.0,1.8022384246481404e-08,5.286596553154318e-09,1.0361538844976053e-09
19300000000.0,1.7630337406442646e-08,5.23155772361405e-09,1.0253664721325888e-09
19400000000.0,1.7245397312934017e-08,5.176275486354482e-09,1.0145313527312336e-09
19500000000.0,1.686750356329572e-08,5.120787416697097e-09,1.0036558909212212e-09
19600000000.0,1.6496439642626882e-08,5.065098821066298e-09,9.927411267426232e-10
19700000000.0,1.6132210635069685e-08,5.009181868217295e-09,9.817816053716962e-10
19800000000.0,1.5774783076061283e-08,4.953126777927421e-09,9.707950095598668e-10
19900000000.0,1.5423996936888788e-08,4.896952100832286e-09,9.597849751649037e-10
20000000000.0,1.5079830000620457e-08,4.840705629435268e-09,9.487608693453419e-10
20100000000.0,1.4742209794478197e-08,4.7843739317490565e-09,9.377200594800444e-10
20200000000.0,1.4411006651183387e-08,4.727965356971392e-09,9.266641819816988e-10
20300000000.0,1.4086203817125722e-08,4.671566273346917e-09,9.156101647151954e-10
20400000000.0,1.3767662334666654e-08,4.615134722147915e-09,9.045497839210183e-10
20500000000.0,1.3455227565536246e-08,4.558756837391838e-09,8.934999215563723e-10
20600000000.0,1.3148993195874042e-08,4.502435096916317e-09,8.82461063268509e-10
20700000000.0,1.2848848167804957e-08,4.446103956177307e-09,8.714203625628572e-10
20800000000.0,1.2554587821396009e-08,4.389829835679147e-09,8.603908376190513e-10
20900000000.0,1.2266216012861193e-08,4.333655666943237e-09,8.493809028606652e-10
21000000000.0,1.1983621182430666e-08,4.277655683140246e-09,8.384051077217964e-10
21100000000.0,1.1706687108926096e-08,4.221781783333615e-09,8.274540245921167e-10
21200000000.0,1.143543331104116e-08,4.166029473141966e-09,8.16526772589063e-10
21300000000.0,1.116968218417132e-08,4.110468857837851e-09,8.056370920935681e-10
21400000000.0,1.0909380565474099e-08,4.055069676822133e-09,7.947790521371857e-10
21500000000.0,1.0654472156744303e-08,3.99991117174367e-09,7.839681837977e-10
21600000000.0,1.0404833413254877e-08,3.944969812810643e-09,7.73199875320658e-10
21700000000.0,1.016038716052888e-08,3.890216890553319e-09,7.624684997533902e-10
21800000000.0,9.921028579799732e-09,3.835769001815541e-09,7.517969096573614e-10
21900000000.0,9.686705869310123e-09,3.781642878856514e-09,7.411883844951134e-10
22000000000.0,9.45732979908829e-09,3.727760743955632e-09,7.306276801135276e-10
22100000000.0,9.232835399413555e-09,3.674144779282348e-09,7.201191441379268e-10
22200000000.0,9.01307201423461e-09,3.6208431046992774e-09,7.096722078880776e-10
22300000000.0,8.798022852414684e-09,3.5679062062961617e-09,6.992967664557413e-10
22400000000.0,8.587637262965469e-09,3.5153412348673527e-09,6.889942213708571e-10
22500000000.0,8.381799109327963e-09,3.4630444089267068e-09,6.787442318359144e-10
22600000000.0,8.180411434645327e-09,3.4111675247713995e-09,6.685765493784586e-10
22700000000.0,7.983398285994531e-09,3.3597032233572794e-09,6.584897316523397e-10
22800000000.0,7.790701281991028e-09,3.3085521432664123e-09,6.484643041774973e-10
22900000000.0,7.602234087635749e-09,3.2578057590546274e-09,6.385181956374242e-10
23000000000.0,7.417874597213672e-09,3.2075027191443586e-09,6.286589809837235e-10
23100000000.0,7.237578422792175e-09,3.157625055636122e-09,6.188831385728084e-10
23200000000.0,7.0613369127693395e-09,3.1081405497572772e-09,6.091843536412787e-10
23300000000.0,6.889017113246741e-09,3.0590699696086624e-09,5.995666966621017e-10
23400000000.0,6.72056070741732e-09,3.010458675110561e-09,5.900390580162867e-10
23500000000.0,6.555866628821369e-09,2.9623143910517488e-09,5.806029517346129e-10
23600000000.0,6.394858028285828e-09,2.9145813918016398e-09,5.712474557941838e-10
23700000000.0,6.237509969335497e-09,2.8673007542610506e-09,5.619806211196191e-10
23800000000.0,6.083762848215394e-09,2.8205286392186313e-09,5.528134550232285e-10
23900000000.0,5.9334743643481714e-09,2.7742169094052915e-09,5.43736522773639e-10
24000000000.0,5.786600378344149e-09,2.728380754800394e-09,5.34752801552098e-10
24100000000.0,5.643110799529087e-09,2.6830065821454483e-09,5.258596271288985e-10
24200000000.0,5.502937129497625e-09,2.638093017543024e-09,5.17056730225092e-10
24300000000.0,5.3659950243705275e-09,2.593717080828378e-09,5.083592064509985e-10
24400000000.0,5.2321926286405186e-09,2.5498141883904883e-09,4.997543976514585e-10
24500000000.0,5.101533445414557e-09,2.5063898368256636e-09,4.912433811395524e-10
24600000000.0,4.973913134650955e-09,2.4634989468568217e-09,4.828369211791723e-10
24700000000.0,4.849239882817282e-09,2.4210923276783172e-09,4.745253765495749e-10
24800000000.0,4.727482250654158e-09,2.3791805987217485e-09,4.66310828621107e-10
24900000000.0,4.608579527766239e-09,2.3377892448818405e-09,4.581982723413496e-10
25000000000.0,4.492476433033242e-09,2.2968526145811684e-09,4.501748402375748e-10
25100000000.0,4.379112584520247e-09,2.2564340477057007e-09,4.422529466993107e-10
25200000000.0,4.268423157285574e-09,2.216592834109808e-09,4.3444421232447905e-10
25300000000.0,4.160382948892521e-09,2.1772050306187453e-09,4.2672434469721666e-10
25400000000.0,4.054894008046689e-09,2.138297997849092e-09,4.1909870639983263e-10
25500000000.0,3.951904046220929e-09,2.099935101535412e-09,4.115797168880869e-10
25600000000.0,3.851421574172436e-09,2.062056823045751e-09,4.041557107244756e-10
25700000000.0,3.75333234981053e-09,2.0246617532271046e-09,3.9682641172008475e-10
25800000000.0,3.6576088807214733e-09,1.9877741845915543e-09,3.89596581119792e-10
25900000000.0,3.5641723907122813e-09,1.951403276902553e-09,3.8246801420424457e-10
26000000000.0,3.4729591387961237e-09,1.915564752164631e-09,3.7544379242970716e-10
26100000000.0,3.38398600751525e-09,1.8802274086495624e-09,3.6851780036982165e-10
26200000000.0,3.2971688059460192e-09,1.845362755785222e-09,3.6168445397506183e-10
26300000000.0,3.2124995827012654e-09,1.8110125222073695e-09,3.549519319077489e-10
26400000000.0,3.12987452827521e-09,1.7771794833636545e-09,3.483207781456263e-10
26500000000.0,3.0492309828766766e-09,1.7437943661772026e-09,3.417774154151168e-10
26600000000.0,2.970570372585354e-09,1.710946158621779e-09,3.3533928503858417e-10
26700000000.0,2.893828624425505e-09,1.6785845606919672e-09,3.2899652839612445e-10
26800000000.0,2.818997422558004e-09,1.6466243563822652e-09,3.2273244345756863e-10
